component_id,id,name,description,tags,type_hint,file,line
31e0c252-5a6a-43fd-965a-40bd5556c257,1073741822,MODALITY_PRODUCED_EXTERNAL_REPORT,The probe produced a log report for transmission to the backend for external analysis,INTERNAL,,,
31e0c252-5a6a-43fd-965a-40bd5556c257,1073741821,MODALITY_LOG_ITEMS_MISSED,"Some log items were overwritten without successfully getting reported to the collector, the number of missed entries is storedin the payload",INTERNAL,u32,,
31e0c252-5a6a-43fd-965a-40bd5556c257,1073741820,MODALITY_LOGICAL_CLOCK_OVERFLOWED,A logical clock's count reached the maximum trackable value,INTERNAL,u32,,
31e0c252-5a6a-43fd-965a-40bd5556c257,1073741819,MODALITY_NUM_CLOCKS_OVERFLOWED,The probe did not have enough memory reserved to store enough logical clocks to track all of the unique neighbors that attempt to communicate with it,INTERNAL,,,
31e0c252-5a6a-43fd-965a-40bd5556c257,1073741818,MODALITY_INSUFFICIENT_REPORT_BUFFER_SIZE,The report destination buffer is too small to fit a header and/or the frontier clocks,INTERNAL,,,
31e0c252-5a6a-43fd-965a-40bd5556c257,1073741817,MODALITY_PROBE_INITIALIZED,The probe successfully initialized itself,INTERNAL,,,
31e0c252-5a6a-43fd-965a-40bd5556c257,1073741816,MODALITY_INVALID_NEXT_EPOCH_SEQ_ID,"The probe is configured to track restarts, but the user's implementation returned an invalid zero value or a None option variant.",INTERNAL,,,
31e0c252-5a6a-43fd-965a-40bd5556c257,1073741815,MODALITY_WALL_CLOCK_TIME_ONLY,Reserved for indicating wall clock time,INTERNAL,,,
31e0c252-5a6a-43fd-965a-40bd5556c257,1073741694,MODALITY_MUTATION_INJECTION_TRIGGERED,Mutation injection triggered,INTERNAL,u32,,
31e0c252-5a6a-43fd-965a-40bd5556c257,1073741693,MODALITY_MUTATION_INJECTION_SUCCESS,Mutation injection succeeded,INTERNAL,u32,,
31e0c252-5a6a-43fd-965a-40bd5556c257,1073741692,MODALITY_MUTATION_INJECTION_ERROR,Mutation injection failed,INTERNAL,u32,,
31e0c252-5a6a-43fd-965a-40bd5556c257,1073741691,MODALITY_SCOPE_BEGIN,Modulus stimulus scope began,INTERNAL,u32,,
31e0c252-5a6a-43fd-965a-40bd5556c257,1073741690,MODALITY_SCOPE_END,Modulus stimulus scope ended,INTERNAL,u32,,
31e0c252-5a6a-43fd-965a-40bd5556c257,1073741689,DYNAMIC_EXPECTATION,Modulus stimulus dynamic expectation,INTERNAL,u32,,
31e0c252-5a6a-43fd-965a-40bd5556c257,1073741688,MODALITY_CONTROL_MSG_DROPPED,Modulus control message dropped,INTERNAL,u32,,
31e0c252-5a6a-43fd-965a-40bd5556c257,1073741687,MODALITY_TRIGGER_DROPPED,Modulus trigger control block dropped,INTERNAL,u32,,
31e0c252-5a6a-43fd-965a-40bd5556c257,1073741686,MODALITY_MUTATION_EPOCH_ADVANCED,Mutation epoch advanced,INTERNAL,u16,,
